#  eta   phi   dep   det    value 
   -1   1    1    HB    0.978446359962
   -2   1    1    HB    1.00141413324
   -3   1    1    HB    1.038672915
   -4   1    1    HB    1.0197544455
   -5   1    1    HB    1.02476519029
   -6   1    1    HB    0.994203865845
   -7   1    1    HB    0.987362156949
   -8   1    1    HB    0.976858134787
   -9   1    1    HB    1.01639693473
   -10   1    1    HB    1.04046962568
   -11   1    1    HB    1.01349058772
   -12   1    1    HB    1.00850859057
   -13   1    1    HB    1.01606440615
   -14   1    1    HB    1.00309145921
   -15   1    1    HB    1.00332234998
   -15   1    2    HB    1.02445780545
   -16   1    1    HB    0.996853731969
   -16   1    2    HB    0.998187515734
   -1   2    1    HB    0.969993029607
   -2   2    1    HB    0.999083698807
   -3   2    1    HB    1.00857064244
   -4   2    1    HB    1.04169210211
   -5   2    1    HB    0.976162645414
   -6   2    1    HB    0.976171861697
   -7   2    1    HB    1.01094108962
   -8   2    1    HB    0.925316501424
   -9   2    1    HB    1.00553456838
   -10   2    1    HB    1.02524590551
   -11   2    1    HB    0.936636770591
   -12   2    1    HB    0.998190357331
   -13   2    1    HB    0.980061316079
   -14   2    1    HB    1.01951486544
   -15   2    1    HB    1.0148216947
   -15   2    2    HB    0.997984616946
   -16   2    1    HB    0.988142464487
   -16   2    2    HB    1.01693696031
   -1   3    1    HB    0.955348784464
   -2   3    1    HB    1.02147497005
   -3   3    1    HB    0.951100086471
   -4   3    1    HB    1.01289881812
   -5   3    1    HB    0.955403081238
   -6   3    1    HB    1.00319993406
   -7   3    1    HB    0.980932342048
   -8   3    1    HB    1.02934145586
   -9   3    1    HB    0.980199870668
   -10   3    1    HB    0.986464593307
   -11   3    1    HB    1.0016519613
   -12   3    1    HB    0.974151920298
   -13   3    1    HB    1.0049867277
   -14   3    1    HB    0.996154693209
   -15   3    1    HB    1.02106676114
   -15   3    2    HB    0.980903900368
   -16   3    1    HB    0.985654091517
   -16   3    2    HB    0.9736879618
   -1   4    1    HB    1.00423281167
   -2   4    1    HB    0.995308267625
   -3   4    1    HB    0.982255816192
   -4   4    1    HB    1.00663467237
   -5   4    1    HB    1.02774029237
   -6   4    1    HB    0.970589881613
   -7   4    1    HB    0.988328695669
   -8   4    1    HB    1.04342915777
   -9   4    1    HB    0.967443309264
   -10   4    1    HB    1.02814806061
   -11   4    1    HB    0.995546194377
   -12   4    1    HB    1.01503300075
   -13   4    1    HB    0.97672046011
   -14   4    1    HB    0.99860196904
   -15   4    1    HB    0.985096790719
   -15   4    2    HB    1.00082977843
   -16   4    1    HB    0.982909999886
   -16   4    2    HB    0.984240092391
   -1   5    1    HB    1.00197944831
   -2   5    1    HB    0.956118132858
   -3   5    1    HB    0.998119348929
   -4   5    1    HB    0.998996563308
   -5   5    1    HB    0.985881296036
   -6   5    1    HB    0.967151047636
   -7   5    1    HB    0.998843438155
   -8   5    1    HB    0.977136044891
   -9   5    1    HB    1.02729814521
   -10   5    1    HB    0.968993192636
   -11   5    1    HB    1.02185029714
   -12   5    1    HB    1.00080180589
   -13   5    1    HB    1.02547385371
   -14   5    1    HB    1.02862854081
   -15   5    1    HB    0.967482035577
   -15   5    2    HB    1.00240867645
   -16   5    1    HB    1.01180302857
   -16   5    2    HB    1.01378008263
   -1   6    1    HB    0.955608577645
   -2   6    1    HB    0.973818361123
   -3   6    1    HB    1.05508718294
   -4   6    1    HB    1.02899717595
   -5   6    1    HB    0.999834052653
   -6   6    1    HB    0.992266369791
   -7   6    1    HB    1.03281623953
   -8   6    1    HB    1.04294634141
   -9   6    1    HB    1.01431490371
   -10   6    1    HB    1.01123576099
   -11   6    1    HB    1.00527200206
   -12   6    1    HB    0.97936864691
   -13   6    1    HB    0.99709978892
   -14   6    1    HB    1.02591371006
   -15   6    1    HB    0.991013126983
   -15   6    2    HB    1.01773359743
   -16   6    1    HB    1.02020598439
   -16   6    2    HB    1.0068281275
   -1   7    1    HB    1.00675584112
   -2   7    1    HB    0.967352238289
   -3   7    1    HB    0.956962200923
   -4   7    1    HB    1.03958432987
   -5   7    1    HB    1.01313744963
   -6   7    1    HB    0.979968908814
   -7   7    1    HB    0.99399151896
   -8   7    1    HB    1.00374525807
   -9   7    1    HB    0.986745102718
   -10   7    1    HB    1.01295833711
   -11   7    1    HB    0.984449574641
   -12   7    1    HB    1.00821987841
   -13   7    1    HB    0.988034930645
   -14   7    1    HB    1.01049603235
   -15   7    1    HB    0.989586317823
   -15   7    2    HB    1.0222927572
   -16   7    1    HB    1.02078123212
   -16   7    2    HB    0.995972993032
   -1   8    1    HB    0.988770513061
   -2   8    1    HB    0.995727848288
   -3   8    1    HB    1.00072553866
   -4   8    1    HB    0.950666097949
   -5   8    1    HB    1.05063701482
   -6   8    1    HB    1.00960912457
   -7   8    1    HB    0.991116040884
   -8   8    1    HB    1.04654512682
   -9   8    1    HB    1.01362608873
   -10   8    1    HB    1.00173077201
   -11   8    1    HB    1.00372544351
   -12   8    1    HB    1.01187800537
   -13   8    1    HB    0.998546254983
   -14   8    1    HB    0.98321154914
   -15   8    1    HB    0.992237869473
   -15   8    2    HB    0.987607725209
   -16   8    1    HB    0.992476111991
   -16   8    2    HB    1.00153962352
   -1   9    1    HB    0.99520945106
   -2   9    1    HB    1.02972838951
   -3   9    1    HB    0.999518776502
   -4   9    1    HB    0.97204886856
   -5   9    1    HB    0.993930742169
   -6   9    1    HB    0.976167966816
   -7   9    1    HB    1.01105295164
   -8   9    1    HB    0.998773487206
   -9   9    1    HB    0.982287496
   -10   9    1    HB    0.945265524713
   -11   9    1    HB    1.04208424041
   -12   9    1    HB    1.01717728423
   -13   9    1    HB    1.01759082737
   -14   9    1    HB    0.966897120047
   -15   9    1    HB    1.00443570503
   -15   9    2    HB    0.993494205532
   -16   9    1    HB    0.986283259537
   -16   9    2    HB    1.03141202788
   -1   10    1    HB    0.97516993471
   -2   10    1    HB    0.999335288658
   -3   10    1    HB    1.0155177149
   -4   10    1    HB    0.979484494718
   -5   10    1    HB    0.967453911341
   -6   10    1    HB    0.967605367639
   -7   10    1    HB    1.00032409511
   -8   10    1    HB    1.00732923014
   -9   10    1    HB    1.00757049403
   -10   10    1    HB    1.00080658805
   -11   10    1    HB    0.993582266402
   -12   10    1    HB    1.02911203974
   -13   10    1    HB    1.01536030698
   -14   10    1    HB    1.03274288067
   -15   10    1    HB    1.01306919685
   -15   10    2    HB    1.00101153864
   -16   10    1    HB    0.99015366953
   -16   10    2    HB    1.01365825964
   -1   11    1    HB    1.0305634391
   -2   11    1    HB    1.01163868653
   -3   11    1    HB    0.999625233717
   -4   11    1    HB    0.994479068208
   -5   11    1    HB    0.96846754157
   -6   11    1    HB    1.0201693956
   -7   11    1    HB    1.01561968714
   -8   11    1    HB    1.01973975927
   -9   11    1    HB    1.008743956
   -10   11    1    HB    1.02083609496
   -11   11    1    HB    1.04255683761
   -12   11    1    HB    0.982607760907
   -13   11    1    HB    0.996371800469
   -14   11    1    HB    0.993597958253
   -15   11    1    HB    1.01623039906
   -15   11    2    HB    1.00399832325
   -16   11    1    HB    1.02131937493
   -16   11    2    HB    1.00235240549
   -1   12    1    HB    1.00402374108
   -2   12    1    HB    1.04266015147
   -3   12    1    HB    0.943589780545
   -4   12    1    HB    0.951602308422
   -5   12    1    HB    0.980664818182
   -6   12    1    HB    1.04138770129
   -7   12    1    HB    0.970350774574
   -8   12    1    HB    1.01570995663
   -9   12    1    HB    0.979105641914
   -10   12    1    HB    1.04844712557
   -11   12    1    HB    1.00698235417
   -12   12    1    HB    1.00647622089
   -13   12    1    HB    0.991262629275
   -14   12    1    HB    0.99585579629
   -15   12    1    HB    0.97312026173
   -15   12    2    HB    0.955995623519
   -16   12    1    HB    0.998889764776
   -16   12    2    HB    1.01520193694
   -1   13    1    HB    0.990852880197
   -2   13    1    HB    1.01330014072
   -3   13    1    HB    1.03136544654
   -4   13    1    HB    1.03342967934
   -5   13    1    HB    1.06068336619
   -6   13    1    HB    1.0301723737
   -7   13    1    HB    0.985218156001
   -8   13    1    HB    0.984147330762
   -9   13    1    HB    0.984782751809
   -10   13    1    HB    1.00428160194
   -11   13    1    HB    1.01622030104
   -12   13    1    HB    0.994546954169
